district_name,real_estate_area,real_estate_age,total_rooms,price,price_per_meter,real_estate_agencey,floor,elevator,parking,warehouse,units_per_floor,document,building_direction,unit_status,facilities
قلهک,۱۲۵,۱۳۹۹,۳,۱۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۸٬۰۰۰٬۰۰۰ تومان,مشاورین مسکن خورشید,۳ از ۴,True,True,True,۱,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
کوی فردوس,۶۵,۱۳۸۲,۲,۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۸۱٬۵۳۸٬۰۰۰ تومان,پایتخت سازمان برنامه,۳ از ۴,,True,True,۴,تک‌برگ,جنوبی,بازسازی شده,"آسانسور ندارد,پارکینگ,انباری,بالکن,جنس کف سرامیک,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر آبی,گرمایش شوفاژ"
زعفرانیه,۱۶۰,۱۳۸۴,۳,۲۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۵٬۰۰۰٬۰۰۰ تومان,تشریفات,۴,True,True,True,,,,,
الهیه,۲۱۸,۱۳۹۰,۳,۳۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۹٬۷۲۵٬۰۰۰ تومان,املاک کبیر,۳ از ۵,True,True,True,۲,تک‌برگ,جنوبی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
زعفرانیه,۱۵۰,۱۳۹۴,۳,۳۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۰۶٬۶۶۷٬۰۰۰ تومان,املاک آدم و حوا,۵ از ۵,True,True,True,۲,منگوله‌دار,جنوبی,بازسازی شده,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش داکت اسپلیت,گرمایش داکت اسپلیت"
فرمانیه,۲۵۰,۱۳۸۵,۴,۴۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۶۰٬۰۰۰٬۰۰۰ تومان,آذرمینا,۱,True,True,True,,,,,
مسعودیه,۵۷,۱۳۸۵,۱,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۸۸٬۰۰۰ تومان,,۴ از ۴,True,True,True,۴,تک‌برگ,جنوبی,,"آسانسور,پارکینگ"
جنت‌آباد شمالی,۸۶,۱۳۹۹,۲,۸٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۹۶٬۵۱۲٬۰۰۰ تومان,فردشهران,۱ از ۵,True,True,True,۲,تک‌برگ,شمالی,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش کولر گازی,گرمایش شوفاژ"
نواب,۴۵,۱۳۸۰,۱,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۵۵۶٬۰۰۰ تومان,,۱,True,True,,,,,,
زعفرانیه,۱۶۰,۱۴۰۰,۳,۵۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۱۲٬۵۰۰٬۰۰۰ تومان,دیپلمات زعفرانیه,۸ از ۱۰,True,True,True,۱,تک‌برگ,,,"آسانسور,پارکینگ,انباری,بالکن,جنس کف سنگ,سرویس بهداشتی ایرانی و فرنگی,سرمایش فن کوئل,گرمایش فن کوئل"
