district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
میرداماد,آپارتمان,160,3,2,1,35200000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,روف گاردن,لابی من,اتاق مستر",3
طرشت,آپارتمان,133,3,2,0,13300000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق,پارکینگ مهمان,نورپردازی",3
بریانک,آپارتمان,43,1,0,19,2250000000,"انباری,بالکن",1
ستارخان,آپارتمان,60,1,1,1,6300000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,اعلام حریق,اطفا حریق,پاسیو",1
ستارخان,آپارتمان,106,2,1,0,11600000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اعلام حریق,اطفا حریق,لابی من,پارکینگ مهمان,نورپردازی,پاسیو",2
جردن,آپارتمان,104,,0,,13500000000,,
ستارخان,آپارتمان,115,3,1,9,12300000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",3
ستارخان,آپارتمان,122,3,1,10,11700000000,"آسانسور,انباری,بالکن,اعلام حریق,اطفا حریق",3
جردن,آپارتمان,104,,0,,12500000000,,
ونک,آپارتمان,300,4,1,32,30000000000,"انباری,بالکن",4
ولنجک,آپارتمان,188,,0,,37500000000,,
جردن,آپارتمان,105,2,1,7,14500000000,"آسانسور,انباری",2
رستم آباد و اختیاریه,آپارتمان,130,3,1,18,18000000000,"آسانسور,انباری",3
حکمت,آپارتمان,80,1,0,18,11500000000,,1
جردن,آپارتمان,228,4,1,17,18000000000,"آسانسور,انباری",4
قیطریه,آپارتمان,100,2,1,0,21000000000,"آسانسور,انباری,سرایداری,نگهبانی,لابی",2
حکمت,آپارتمان,1398,3,2,1399,22750000000,,
پونک,آپارتمان,75,2,1,7,7850000000,"آسانسور,انباری,بالکن,سرایداری",2
محمودیه,آپارتمان,195,3,1,16,46500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,لابی من,باشگاه,اتاق مستر",3
شهران,آپارتمان,75,2,1,6,7850000000,"آسانسور,انباری,بالکن,سرایداری",2
شهرزیبا,آپارتمان,80,2,1,17,8000000000,"آسانسور,انباری,بالکن,سرایداری",
دروس,آپارتمان,115,2,1,11,18700000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
دروس,آپارتمان,110,2,1,11,18700000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
جنت آباد جنوبی,آپارتمان,70,2,1,13,6500000000,"آسانسور,انباری,بالکن,سرایداری",2
زعفرانیه,آپارتمان,215,3,3,1,79500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,لابی من,نورپردازی,باشگاه,اتاق مستر",3
باغ فیض,آپارتمان,80,2,1,5,8500000000,"آسانسور,انباری,بالکن,سرایداری",2
ولنجک,آپارتمان,140,3,1,14,25000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی من,اتاق مستر",3
پاسداران,آپارتمان,120,2,2,3,18000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",
اباذر,آپارتمان,70,2,1,7,7500000000,"آسانسور,انباری,بالکن,سرایداری",2
پاسداران,آپارتمان,90,2,1,1,13700000000,"آسانسور,انباری,بالکن,سرایداری,لابی",
